,Website,Email,Contact
140,http://www.isentflowers.com,,tel:(971) 266-2824
141,,,tel:(503) 206-6193
142,http://www.mcmenamins.com,brocato102@bellsouth.net,tel:(503) 288-6149
143,,,tel:(503) 227-6460
144,http://www.alloccasionsflowersdelivery.com,,tel:(888) 808-1345
145,http://www.blumfloraldesign.com,info@blumfloraldesign.com,tel:(503) 851-1672
146,http://www.sammysflowers.com,info@sammysflowers.com,tel:(503) 281-0310
147,,,tel:(503) 775-9599
148,http://www.cityflowerspdx.com,sara@cityflowerspdx.com,tel:(503) 228-4700
149,,,tel:(503) 777-3838
150,,,tel:(503) 957-9567
151,https://rosemarystafford.squarespace.com,,tel:(503) 616-0552
152,http://www.mainstreetfloralcompany.com,mainstreetfloralcompany@gmail.com,tel:(360) 723-5365
153,http://www.portlandfloristdelivery.com,familyflowers1915@gmail.com,tel:(503) 771-9000
154,https://kimberlykaye.co,kbarkow@comcast.net,tel:(360) 281-5399
155,https://www.starflowerpassion.com,jill@starflowerpassion.com,tel:(503) 225-9400
156,,,tel:(503) 203-8652
157,,flowers_by_design@live.com,tel:(503) 758-7090
158,http://www.bouquetsandballoons.com,,tel:(503) 629-5827
159,https://bykay.co,,tel:(503) 927-2995
160,http://www.sellwoodflowerco.com,,tel:(503) 719-5390
161,,,tel:(360) 834-9225
162,http://www.isentflowers.com,,tel:(360) 727-6012
163,,,tel:(360) 723-5367
164,,,tel:(360) 833-4525
165,,,tel:(503) 206-6193
166,http://newseasonsmarket.com,,tel:(503) 808-9156
167,http://www.foragedfloral.com,foragedfloral@gmail.com,tel:(931) 797-5700
168,http://www.thehialeahflowershop.com,jackhave1981@gmail.com,tel:(503) 836-3849
169,https://lilyrootflowers.com/contact-us,,tel:(971) 202-7179
170,http://lilyrootflowers.com,,tel:(971) 202-7179
171,,,tel:(503) 222-9770
172,,,tel:(503) 788-1160
173,https://bloomandfleurpdx.com,,tel:(971) 470-3114
174,,,tel:(503) 941-9975
175,http://www.sunmarkseeds.com,info@sunmarkseeds.com,tel:(888) 214-7333
176,http://www.theflowerboutique.com,flowerboutique@earthlink.net,tel:(503) 246-4221
177,http://www.queenbeeflowers.com,,tel:(503) 231-2806
178,https://arrangedandrooted.com,,tel:(971) 401-4755
179,,,tel:(503) 246-1311
180,http://zarasgiftsandflowers.bloomnation.com/?test12345,,tel:(971) 386-2118
181,,Isaipantle@gmail.com,tel:(971) 998-9925
182,,,tel:(971) 407-4415
183,,,tel:(503) 477-5455
184,http://www.scappooseflorist.com,scappooseflorist@gmail.com,tel:(503) 543-3135
185,,,tel:(503) 452-4747
186,http://andrewsflowersor.com,,tel:(503) 646-0631
187,http://www.bykay.co,,tel:(503) 927-2995
188,http://www.grandaveflorist.com,grandfloral@integra.net,tel:(503) 234-7673
189,,,tel:(503) 236-2104
190,,,tel:(503) 808-9156
191,,info@bloomingweddingflowers.com,tel:(503) 246-6522
192,,,tel:(503) 246-1311
193,,,tel:(503) 246-1311
194,,,tel:(877) 228-6435
195,http://www.francoiseweeks.com,Francoise-Weeks@francoiseweeks.com,tel:(503) 236-5829
196,http://www.bridalblossoms.com,,tel:(503) 297-3042
197,,,tel:(503) 231-4500
198,,,tel:(503) 239-8005
199,,zfiori@hotmail.com,tel:(503) 246-4221
200,,,tel:(503) 892-1160
201,http://www.floraldesignsbyalicia.org,alicia@floraldesignsbyalicia.org,tel:(503) 754-7484
202,http://haleysflowers.com,flowers@haleysflowers.com,tel:(360) 834-3512
203,https://artisticflowers-decor.com,,tel:(503) 635-2094
204,,,tel:(503) 317-1061
205,https://www.quadsgarden.org,trinettesfloral@yahoo.com,tel:(503) 252-6650
206,,lcervone@ameritrade.com,tel:(503) 366-3224
207,,,tel:(503) 543-6418
208,http://www.mysticgardens.biz,,tel:(360) 989-6386
209,http://www.mysticgardens.biz,,tel:(360) 210-4694
210,http://www.isentflowers.com,,tel:(360) 335-3205
211,https://coventrygardensflorist.com,,tel:(360) 254-4648
212,http://www.isentflowers.com,,tel:(360) 335-3205
213,https://coventrygardensflorist.com,,tel:(360) 254-4648
214,http://www.alloccasionsflowersdelivery.com,,tel:(888) 960-1251
215,,,tel:(360) 834-7216
216,http://amandakaram.com/about,,tel:(503) 810-0982
217,,,tel:(503) 543-2459
218,,support@myurbangreenhouse.com,tel:(503) 268-1096
219,https://www.rosecityfloral.net,,tel:(971) 235-3444
220,,,tel:(503) 543-8234
221,http://www.flowersbyzsuzsana.com,,tel:(503) 747-2685
222,,,tel:(971) 317-0088
223,https://www.albertsons.com,,tel:(503) 642-7059
224,,,tel:(503) 648-4234
225,,,tel:(503) 233-2262
226,,,tel:(503) 253-8322
227,,,tel:(503) 771-4654
228,,,tel:(503) 681-8771
229,,weddingflowerspdx@gmail.com,tel:(503) 351-4541
230,,,tel:(503) 684-8815
231,http://www.westsideflorist.net?y_source=1_otezodu4mdktntuzlwxvy2f0aw9ulndlynnpdgu%3d,theresahuongl@yahoo.com,tel:(503) 642-9992
232,http://www.angelonesflowers.com/feature.asp?srccode=NYP,angelonesflowers@yahoo.com,tel:(888) 896-0717
233,http://www.giffordsflowers.com,BillGifford@giffordsflowers.com,tel:(503) 222-9193
234,http://www.walkerflorist.com,info@walkerflorist.com,tel:(503) 285-7714
235,http://www.broadwayfloral.com,doug@broadwayfloral.com,tel:(503) 288-5537
236,http://www.bloomsofportland.com,bloomsofportland@yahoo.com,tel:(503) 227-2299
237,https://www.tfamericasflorist.com/businesscorporate-direct-ship-gift-baskets/de-410812,Calvin@tfamericasflorist.com,tel:(800) 872-3837
238,http://www.lublinerflorist.com,,tel:(503) 228-4181
239,,avalonflowers@msn.com,tel:(503) 796-9250
240,http://themeadow.com,service@themeadow.com,tel:(503) 288-4633
241,http://www.petalpassion.net,marianna@petalpassion.net,tel:(503) 286-9041
242,,floralevent@aol.com,tel:(503) 241-2225
243,http://www.newseasonsmarket.com/universitypark,,tel:(503) 289-0834
244,http://www.colibripdx.com,flowers@colibripdx.com,tel:(503) 288-8369
245,http://inkandpeat.com,info@inkandpeat.com,tel:(503) 282-6688
246,http://www.newseasonsmarket.com,,tel:(503) 528-2888
247,http://gracedesigns.net,,tel:(503) 244-3899
248,,,tel:(503) 719-4503
249,https://www.newseasonsmarket.com/our-stores/grantpark,,tel:(503) 282-2080
250,http://www.newseasonsmarket.com,,tel:(503) 224-7522
251,http://www.botanicafloralpdx.com,josef@botanicafloralpdx.com,tel:(503) 358-4687
252,http://foliage-services.com,info@foliage-services.com,tel:(503) 252-1926
253,https://www.realgoodfood.com,,tel:(503) 987-0828
254,,,tel:(971) 258-1472
255,https://flowerstommyluke.com,louella@flowerstommyluke.com,tel:(503) 228-3140
256,http://www.goosehollowflowers.com,,tel:(503) 228-8107
257,,info@orchidexchange.net,tel:(503) 295-6899
258,http://www.geraniumlake.com,dself10076@aol.com,tel:(503) 228-1920
259,http://clmark.crystallilies.com,scott@crystallilies.com,tel:(503) 221-7701
260,,prestigeflowers.marina@gmail.com,tel:(503) 777-0133
261,http://www.newseasonsmarket.com,talktous@newseasonsmarket.com,tel:(503) 641-4181
262,https://laurelhurstflorist.com,,tel:(503) 232-1596
263,,,tel:(503) 222-9770
264,http://www.portlandbakerydelivery.com?y_source=1_ote5odiyms01ntmtbg9jyxrpb24ud2vic2l0zq%3d%3d,lynne1061@gmail.com,tel:(503) 841-6983
265,http://www.portlandfloristshop.com?y_source=1_ote5odiymc01ntmtbg9jyxrpb24ud2vic2l0zq%3d%3d,lynne1061@gmail.com,tel:(503) 257-9165
266,https://www.onelittlebunch.com,websiteonelittlebunch@gmail.com,tel:(503) 869-4130
267,http://www.newseasonsmarket.com,askthechef@newseasonsmarket.com,tel:(503) 292-6838
268,http://www.newseasonsmarket.com,martam@newseasonsmarket.com,tel:(503) 230-4949
269,http://www.fallisforplanting.com,jmeans@meansnursery.com,tel:(503) 543-3223
270,https://bullardlaw.com,,tel:(503) 288-4469
271,http://www.newseasonsmarket.com/our-stores/hawthorne,talktous@newseasonsmarket.com,tel:(503) 236-4800
272,,info@floaredesign.com,tel:(503) 233-4039
273,http://www.blumfloraldesign.com,info@blumfloraldesign.com,tel:(503) 851-1672
274,http://www.balesmarketplace.com,,tel:(503) 646-9635
275,,,tel:(503) 348-9586
276,,pictureperfect036@yahoo.com,tel:(503) 729-2268
277,http://www.newseasonsmarket.com/woodstock,,tel:(503) 771-9663
278,,,tel:(503) 206-7910
279,http://dinihanian.com,info@dinihanian.com,tel:(503) 645-1546
280,http://www.kernparkportlandflowers.com,familyflowers1915@gmail.com,tel:(503) 771-9000
281,,vankirksflorist@gmail.com,tel:(503) 761-2662
282,http://www.allseasonsflorists.com,,tel:(503) 520-1985
283,,flowers@flowerswashougal.com,tel:(360) 835-8564
284,http://www.flowerspdx.com,kay@flowerspdx.com,tel:(503) 318-6677
285,http://www.flowersbyburkhardts.com,burkhardtsflowers@yahoo.com,tel:(503) 645-6492
286,http://www.newseasonsmarket.com,talktous@newseasonsmarket.com,tel:(503) 648-6968
287,https://www.mtscottflowers.net,,tel:(503) 775-1810
288,http://koidagreenhouse.com,,tel:(503) 654-4242
289,,danielle@sweazey.com,tel:(503) 753-4466
290,,countryflorals@aol.com,tel:(503) 543-7395
291,http://www.westsideflorist.net,keith@beavertonflorists.com,tel:(503) 642-9992
292,https://www.montecatinieatingdisorder.com,info@williamdillardnurseryco.com,tel:(503) 491-5130
293,http://www.flowersbyburkhardts.com,burkhardtsflowers@yahoo.com,tel:(503) 645-6492
294,http://terristreasuresphotography.blogspot.com,,tel:(503) 750-3867
295,,,tel:(503) 649-8597
