,Website,Email,Contact
137,https://franzbakery.com,franz.tours@usbakery.com,tel:(503) 232-2191
138,,,tel:(503) 257-3868
139,https://www.swichelectric.com/about,,tel:(503) 877-9424
140,http://alderpastryanddessert.blogspot.com,,tel:(503) 548-0359
141,,,tel:(503) 295-7700
142,,,tel:(503) 781-2468
143,https://www.lovejoybakers.com,,tel:(832) 351-2464
144,,,tel:(503) 697-9747
145,http://greatharvestportland.com,jpl@pdxinjury.com,tel:(503) 224-8583
146,https://www.fressenartisanbakery.com/contact,,tel:(503) 953-3222
147,https://www.breakbreadpdx.com,,tel:(503) 914-3911
148,http://www.kona-ice.com/find-a-kona,evergreen@kona-ice.com,tel:(503) 799-8634
149,http://www.kona-ice.com/find-a-kona,smcculloch@kona-ice.com,tel:(360) 887-6242
150,http://www.pearlbakery.com,pbread@pearlbakery.com,tel:(503) 827-0910
151,,pscc@webtv.net,tel:(503) 235-1415
152,https://eurobakebakery.com,,tel:(503) 261-8888
153,http://www.usbakery.com,terry.elliot@usbakery.com,tel:(503) 731-5670
154,http://www.tulippastryshop.com,thetulippastryshop@gmail.com,tel:(503) 286-3444
155,http://www.franzbakery.com,info@usbakery.com,tel:(503) 595-0944
156,,,tel:(503) 784-0056
157,http://www.bluecollarbaking.com,,tel:(503) 227-3249
158,http://www.nuvrei.com,Info@nuvrei.com,tel:(503) 972-1700
159,,,tel:(503) 287-0601
160,,bakerybarcakes@gmail.com,tel:(503) 477-7779
161,https://locations.cinnabon.com/or/portland/1109-lloyd-center?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner,,tel:(971) 266-8679
162,http://www.cupcakejones.net,lisa@cupcakejones.net,tel:(503) 222-4404
163,http://www.bridgecitycafe.com,pioneer@bridgecitycafe.com,tel:(503) 241-2822
164,,Amanda@BushelandPeckBakeshop.com,tel:(503) 206-8953
165,http://www.bakeshoppdx.com,info@bakeshoppdx.com,tel:(503) 946-8884
166,,,tel:(503) 252-0155
167,,,tel:(503) 408-1402
168,,,tel:(503) 256-2099
169,http://www.greatharvest.com,mikef@greatharvest.com,tel:(503) 224-8583
170,http://www.petuniaspiesandpastries.com,lisa@petuniaspiesandpastries.com,tel:(503) 841-5961
171,http://www.pastrygirl.com,,tel:(503) 254-5433
172,,info@portlandspecialtybaking.com,tel:(503) 228-4975
173,http://www.greatharvest.com,greatharvesthillsboro@gmail.com,tel:(503) 466-1112
174,http://www.nothingbundtcakes.com/bakery/or/beaverton,beaverton@nothingbundtcakes.com,tel:(503) 718-7070
175,http://www.jacivas.com,jacivasbakery@jacivas.com,tel:(503) 234-8115
176,http://thedecoretteshop.com,sales@thedecoretteshop.com,tel:(503) 774-3760
177,https://pieceofcakebakery.net,pieceofcakebakery@icloud.com,tel:(503) 234-9445
178,,dinochiot@aol.com,tel:(503) 231-8100
179,http://www.portlandbakerydelivery.com?y_source=1_ote5odiyms00njitbg9jyxrpb24ud2vic2l0zq==,lynne1061@gmail.com,tel:(503) 841-6983
180,https://www.unicornbakeshop.com,,tel:(503) 477-9906
181,https://www.nothingbundtcakes.com,hillsboro-or@nothingbundtcakes.com,tel:(503) 433-5018
182,http://carinasbakery.com,,tel:(503) 339-3187
183,http://www.walmart.com/store/5929-battle-ground-wa,,tel:(360) 723-9004
184,,,tel:(360) 342-8093
185,https://killabites.com,,tel:(360) 635-8650
186,,,tel:(971) 254-8904
187,,,tel:(503) 231-9758
188,http://www.pacificpieco.com,info@pacificpieco.com,tel:(503) 381-6157
189,http://www.farinabakery.com,laura@farinabakery.com,tel:(971) 279-5939
190,,,tel:(503) 223-5419
191,http://www.taborspace.org,info@taborspace.org,tel:(503) 238-3904
192,,harvestpie@yahoo.com,tel:(503) 891-9958
193,http://newcascadiatraditional.com,info@newcascadiatraditional.com,tel:(503) 546-4901
194,http://www.funandfancycakes.com/contact-us.html,,tel:(971) 225-3412
195,http://www.toadstoolcupcakes.com,,tel:(503) 764-9921
196,,,tel:(503) 206-8313
197,http://www.hungryheartpdx.com,hungryheartpdx@gmail.com,tel:(503) 254-8487
198,https://www.stbarbra.com,,tel:(503) 444-7170
199,https://www.taborbread.com/pages/about-us,,tel:(971) 279-5104
200,https://www.shooflyveganbakery.com,,tel:(971) 229-0188
201,http://www.mctavishshortbread.com,info@McTavishShortbread.com,tel:(503) 253-9394
202,https://newcascadiatraditional.com,info@newcascadiatraditional.com,tel:(503) 546-4901
203,http://www.backtoedenbakery.com,info@backtoedenbakery.com,tel:(503) 477-5022
204,http://www.romancandlebaking.com,,tel:(971) 302-6605
205,,,tel:(503) 827-0910
206,http://www.oregon.gov/oda/fsd,,tel:(503) 736-9600
207,https://www.lovejoybakers.com,,tel:(503) 208-3113
208,,,tel:(503) 257-9900
209,http://www.westcoastframes.biz,,tel:(503) 282-2744
210,,,tel:(503) 430-1447
211,,info@blissbakeshoppe.com,tel:(503) 645-6000
212,http://www.walmart.com/store/2552-portland-or,,tel:(503) 788-0200
213,http://www.bakerandspicepdx.com,info@bakerandspicebakery.com,tel:(503) 546-3737
214,https://www.grandcentralbakery.com/all-locations,,tel:(503) 953-1250
215,,,tel:(503) 232-0000
216,,cakepopbaby@gmail.com,tel:(971) 226-4614
217,http://www.fatcupcake.com,,tel:(503) 775-0731
218,https://bellasitalianbakery.com,,tel:(617) 803-1880
219,http://www.walmart.com/store/5993-beaverton-or,,tel:(503) 207-7627
220,https://bellasitalianbakery.com/contact-us,,tel:(971) 255-1212
221,https://www.parisbaguette.com,,tel:(503) 746-4358
222,,,tel:(503) 746-5107
223,http://www.cakeit.us,,tel:(503) 746-5614
224,http://www.yourbakemark.com,,tel:(503) 643-9401
225,http://www.cravinraven.com,,tel:(503) 349-4965
226,http://www.oyatsupan.com,,tel:(503) 941-5251
227,,,tel:(503) 895-0588
228,http://bimbobakeriesusa.com,,tel:(503) 526-5650
229,,luckycupcakesandcakes@gmail.com,tel:(971) 506-0214
230,,,tel:(503) 761-2412
231,https://justadashkitchen.com/contact-us,,tel:(503) 476-6228
232,http://www.delectablebakedgoods.com,delectablebakedgoods@gmail.com,tel:(971) 217-6577
233,http://www.brownbutter-bakery.com,,tel:(503) 987-1740
234,http://www.grandcentralbakery.com,gcb.info@grandcentralbakery.com,tel:(503) 977-2024
235,http://www.jensensbread.com,info@glutenfreeconcepts.com,tel:(503) 208-3987
236,http://www.kbbakery.com,kbbakery88@gmail.com,tel:(503) 774-5086
237,http://www.beardpapa.com,,tel:(503) 924-1101
238,http://franzbakery.com,info@usbakery.com,tel:(503) 774-2699
239,,,tel:(360) 723-5422
240,,,tel:(503) 719-5131
241,,,tel:(503) 777-2242
242,,info@blissbakeshoppe.com,tel:(503) 645-6000
243,,,tel:(971) 255-1491
244,,,tel:(503) 777-3391
245,http://www.grandcentralbakery.com,gcb.info@grandcentralbakery.com,tel:(503) 546-3036
246,https://bridgetownnaturalfoods.com,,tel:(503) 760-1306
247,http://www.mehris.com,contact@mehris.com,tel:(503) 788-9600
248,http://mng890.wix.com/an-xuyen-bakery,,tel:(503) 788-0866
249,https://www.lovejoybakers.com,,tel:(971) 229-0984
250,http://www.garysbakery.com,,tel:(503) 954-2883
251,http://www.fubonn.com,info@fubonn.com,tel:(503) 788-7968
252,http://franzbakery.com,,tel:(503) 761-2412
253,http://www.taborbread.com,,tel:(971) 279-5530
254,,,tel:(503) 477-4048
255,,,tel:(503) 690-1883
256,,,tel:(503) 760-5200
257,,sales@pieceofcakebakery.net,tel:(503) 234-9445
258,,,tel:(503) 515-9630
259,http://puerto-barrios-inc.dinehere.us,,tel:(503) 627-0465
260,http://www.bakerandspicepdx.com,info@bakerandspicebakery.com,tel:(503) 244-7573
261,,,tel:(503) 643-1048
262,http://www.berlininn.com,,tel:(503) 236-6761
263,http://franzbakery.com,info@usbakery.com,tel:(503) 254-5476
264,http://www.hisbakery.com,,tel:(503) 775-0731
265,,melissa@sweetcakesweb.com,tel:(503) 674-5400
266,,SuizEQ@aol.com,tel:(503) 660-3110
267,http://www.selmasbakeryanddeli.com,,tel:(503) 492-1365
268,http://www.walmart.com/store/5627-gresham-or,,tel:(503) 405-1478
269,,laprovencelo@provencepdx.com,tel:(503) 635-4533
270,http://www.lecookiemonkey.com,troylingelbach@yahoo.com,tel:(503) 762-4157
271,,cavemadepdx@gmail.com,tel:(971) 222-4326
272,http://cake-happynw.squarespace.com,order@cakehappynw.com,tel:(360) 450-7691
273,,,tel:(360) 263-8672
274,http://www.thehungrysbakery.com,,tel:(360) 448-8542
275,,,tel:(503) 877-9424
276,,web@www.bakemark.com,tel:(503) 643-9401
277,,,tel:(503) 574-4142
278,http://www.walmart.com/store/2927-wood-village-or,,tel:(503) 665-9200
279,,,tel:(503) 747-6402
280,http://www.greatharvest.com,,tel:(503) 466-1112
281,http://www.walmart.com/store/5627-gresham-or,,tel:(503) 405-1478
282,,,tel:(503) 266-1441
283,http://portland.citysearch.com/profile/external/45293079/beaverton_or/la_espiga_dorada.html,tiendalarosa@gmail.com,tel:(503) 591-9859
284,http://www.walmart.com/store/2590-hillsboro-or,,tel:(503) 268-6919
285,,,tel:(503) 335-8077
286,http://www.daveskillerbread.com,info@daveskillerbread.com,tel:(503) 335-8077
287,,,tel:(503) 512-7286
288,https://www.85cbakerycafe.com,,tel:(503) 352-4600
289,https://www.hopes.cafe,,tel:(503) 936-7324
290,,,tel:(503) 665-5505
291,http://www.walmart.com/store/5935-tigard-or,,tel:(503) 268-5270
292,http://www.walmart.com/store/3050-beaverton-or,,tel:(503) 207-9915
293,,,tel:(503) 430-0198
294,https://good-cake-bakery.business.site,,tel:(503) 810-9369
295,,,tel:(503) 496-5596
296,http://www.cinnabon.com,,tel:(503) 649-0880
297,http://www.cinnabon.com,,tel:(503) 492-3487
298,http://www.walmart.com,,tel:(503) 303-6755
299,http://www.walmart.com/store/3178-gresham-or,,tel:(503) 492-4725
300,http://measurebytheyard.com,sales@mesurebytheyard.com,tel:(503) 640-1907
301,https://www.scratchandgrain.com/password,,tel:(503) 855-5771
302,http://www.findmeahomejoe.com,,tel:(360) 521-6761
303,,,tel:(503) 430-0335
304,,,tel:(503) 635-3796
305,http://www.gingerbreadtraditions.com,info@gingerbreadtraditions.com,tel:(503) 941-5176
306,https://www.sinfulconfection.com/our-story,,tel:(971) 386-6898
307,http://bimbobakeriesusa.com,,tel:(503) 350-0001
308,,,tel:(503) 496-1451
309,http://www.daveskillerbread.com,,tel:(503) 335-9086
310,http://www.beavertonbakery.com,info@beavertonbakery.com,tel:(503) 639-8900
311,http://www.pop-a-bak.com,elayne@pop-a-bak.com,tel:(360) 834-1042
312,http://www.bellacupcake.net,,tel:(503) 512-7871
313,,,tel:(503) 649-0880
314,http://www.beavertonfoods.com,dombg@beavertonfoods.com,tel:(503) 646-8138
315,http://munchiesmarketing.com,,tel:(503) 342-8530
316,http://liberatedbaking.com,,tel:(503) 328-8319
317,http://marismuffins.com,,tel:(503) 998-6179
318,,,tel:(503) 654-8339
319,http://laurieclarkecakes.com,info@laurieclarkecakes.com,tel:(503) 662-2533
320,https://locations.cinnabon.com/or/tigard/9473-sw-washington-sq-rd?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner,,tel:(503) 620-6652
321,,,tel:(503) 620-5026
322,http://www.breadsong.com,,tel:(503) 699-3282
323,http://www.usbakery.com,,tel:(503) 591-1414
324,http://www.dessertsofdistinction.com,,tel:(503) 654-8370
325,http://franzbakery.com,info@usbakery.com,tel:(503) 639-6806
326,,stacie@bridgecitybaking.com,tel:(503) 305-8366
327,http://portlandfrench.com,comments@portlandfrench.com,tel:(503) 283-3831
328,,,tel:(503) 289-1535
329,http://kraftfoodsgroup.com,,tel:(503) 240-7600
330,http://www.cremabakery.com,,tel:(503) 234-0206
331,http://www.voodoodoughnut.com,,tel:(503) 241-4704
332,,,
333,http://www.bluestardonuts.com,,tel:(503) 288-4670
334,http://www.newseasonsmarket.com,bless.seitan@yahoo.com,tel:(503) 288-3838
335,,PetiteAlberta@live.com,tel:(503) 284-6564
336,http://www.albertsons.com,,tel:(503) 284-5083
337,https://crumblcookies.com/orcascadestation,,tel:(971) 380-4334
338,https://www.costelloscafe.com,,tel:(503) 287-0270
339,https://www.cosmicbliss.com/locations/the-pearl-district,,tel:(971) 420-3630
340,http://www.cherylson12th.com,Info@CherylsOn12th.com,tel:(503) 595-2252
341,http://www.heavenlydonut.com,,tel:(503) 283-4141
342,http://www.woodlawncoffee.com,info@woodlawncoffee.com,tel:(503) 954-2412
343,http://www.cafeelevenpdx.com,,tel:(503) 954-1375
344,http://www.newseasonsmarket.com/universitypark,,tel:(503) 289-0834
345,https://www.facebook.com/Whimsicalfollyme.net,,tel:(360) 624-2711
346,https://www.facebook.com/madronahillcafe,talk@madronahillcafe.com,tel:(503) 289-7617
347,,,tel:(503) 764-9727
348,,,tel:(503) 206-4051
349,http://www.tiendasantacruz.com,,tel:(503) 286-7302
350,http://www.tinymoresopdx.com,info@tinymoresopdx.com,tel:(503) 602-4243
351,http://www.breadandhoneycafe.com,,tel:(503) 444-7114
352,http://www.newseasonsmarket.com,,tel:(503) 528-2888
353,http://www.bagelsnschmears.com,,tel:(503) 249-2848
354,http://internationalfrozenyogurt.com,info@yocream.com,tel:(503) 256-3754
355,,,tel:(503) 284-2752
356,https://www.newseasonsmarket.com/our-stores/grantpark,,tel:(503) 282-2080
357,http://www.sarahscookiespdx.com,SarahsCookiesPDX@GMAIL.com,tel:(503) 493-8342
358,http://www.newseasonsmarket.com,,tel:(503) 224-7522
359,,,tel:(503) 256-4158
360,,,tel:(503) 234-7768
361,https://www.facebook.com/pages/category/Sandwich-Shop/Henry-Higgins-Boiled-Bagels-1758265867745380,,tel:(971) 940-0256
362,http://www.pie-spot.com,piespot@gmail.com,tel:(503) 913-5103
363,,,tel:(503) 727-2197
364,http://www.thecookiedoughcafe.com,,tel:(503) 477-7985
365,http://www.sizzlepie.com,info@sizzlepie.com,tel:(503) 234-7437
366,http://www.citystatediner.com,,tel:(503) 517-0347
367,,donutbytelabs@gmail.com,tel:(503) 801-7321
368,http://www.barvivant.com/contact,rachel@pixpatisserie.com,tel:(971) 271-7166
369,http://www.sainthonorebakery.com/--locations-broadway,,tel:(503) 954-3049
370,,,tel:(503) 825-0909
371,http://www.broadwaybagels.org,broadwaybagels@preferredld.com,tel:(503) 241-9232
372,https://www.facebook.com/marketofchoice.belmont,,tel:(503) 236-6302
373,http://westcafepdx.com,eat@westcafepdx.com,tel:(503) 227-8189
374,http://www.dreamcakesportland.com,dreamcakespdx@gmail.com,tel:(503) 206-4148
375,,,tel:(503) 227-0707
376,,faustinesbakery@gmail.com,tel:(503) 974-4799
377,https://www.cocodonuts.com,downtown@cocodonuts.com,tel:(503) 505-4164
378,http://www.canteenpdx.com,accounting@mississippipizza.com,tel:(503) 236-2323
379,http://www.grandcentralbakery.com,,tel:(503) 546-5311
380,http://fleurdelisbakery.com,greg@fleurdelisbakery.com,tel:(503) 459-4887
381,http://www.thedesserttray.com,contact@thedesserttray.com,tel:(503) 350-0881
382,http://www.breadandinkcafe.com/find-us.html,,tel:(503) 239-4756
383,http://www.newseasonsmarket.com,talktous@newseasonsmarket.com,tel:(503) 641-4181
384,http://www.albertsons.com,,tel:(503) 246-1713
385,http://www.marketofchoice.com,newvendor@marketofchoice.com,tel:(503) 892-7331
386,http://www.sesamedonuts.com,Habib@shopallamerica.com,tel:(503) 297-8175
387,http://www.albertsons.com,,tel:(503) 666-3801
388,http://www.bridgecitycafe.com,essex@bridgecitycafe.com,tel:(503) 222-5664
389,http://www.bluestardonuts.com,,tel:(503) 954-3672
390,http://www.toastlatea.com,,tel:(971) 279-7789
391,http://www.newseasonsmarket.com,askthechef@newseasonsmarket.com,tel:(503) 292-6838
392,http://www.albertsons.com,,tel:(503) 533-5998
393,https://crumblcookies.com/beaverton,,tel:(503) 985-6934
394,http://www.newseasonsmarket.com,martam@newseasonsmarket.com,tel:(503) 230-4949
395,https://crumblcookies.com/hillsboro,,tel:(971) 220-8199
396,http://tribecoffeebg.com,,tel:(360) 818-3634
397,http://www.thehungrysbakery.com,,tel:(360) 448-8542
398,https://www.facebook.com/portlandrosesdeli,alex@rosesdeli.net,tel:(503) 827-3354
399,http://sugarstreetportland.com,info@sugarstreetportland.com,tel:(503) 234-7085
400,,,tel:(503) 499-6333
401,http://www.marketstreetunited.com,,tel:(503) 223-5419
402,http://www.newseasonsmarket.com/our-stores/hawthorne,talktous@newseasonsmarket.com,tel:(503) 236-4800
403,,,tel:(503) 477-8559
404,,,tel:(503) 262-6733
405,http://www.heavenly.com,,tel:(503) 253-4439
406,https://www.spielmanbagels.com/retails,,tel:(503) 946-8297
407,http://www.sainthonorebakery.com,,tel:(971) 279-4433
408,,,tel:(503) 234-5689
409,http://www.oregon.gov/oda/fsd,,tel:(503) 239-2011
410,http://www.divisionstreetportland.com,jungic@msn.com,tel:(503) 231-1313
411,http://www.lecookiemonkey.com,info@lecookiemonkey.com,tel:(503) 232-3848
412,https://www.rainorshinecoffee.com,info@rainorshinepdx.com,tel:(503) 946-8081
413,,info@bridgetownnaturalfoods.com,tel:(503) 235-3913
414,http://cocodonuts.com,,tel:(971) 302-7445
415,,,tel:(503) 827-4158
416,http://www.albertsons.com,,tel:(503) 646-9675
417,http://www.marketofchoice.com,,tel:(503) 596-3592
418,,,tel:(971) 888-4455
419,http://www.kbbakery.com,kbbakery@yahoo.com,tel:(503) 775-7707
420,http://www.almostfamousbytracy.com,,tel:(503) 816-1693
421,http://www.usbakery.com,info@usbakery.com,tel:(503) 254-5476
422,,,tel:(503) 206-5576
423,https://www.finalesdesserts.com,,tel:(503) 222-0547
424,http://www.newseasonsmarket.com/woodstock,,tel:(503) 771-9663
425,http://www.arletalibrary.com,,tel:(503) 774-4470
426,,,tel:(503) 491-4441
427,https://www.donutpalace.org,,tel:(503) 690-9410
428,http://www.peeplesbaking.com,,tel:(650) 248-8766
429,http://www.silvacafe.com,silvacafe@silvacafe.com,tel:(503) 809-1528
430,,,tel:(503) 233-8844
431,,,tel:(503) 352-9826
432,http://www.grandcentralbakery.com,bobkerr@compuserve.com,tel:(503) 445-1600
433,https://local.albertsons.com/wa/battle-ground/2108-w-main-st.html,,tel:(360) 687-4130
434,http://www.teenyfoods.com,rick.teeny@teenyfoods.com,tel:(503) 252-3006
435,http://www.laurettajean.com,kate@laurettajean.com,tel:(503) 235-3119
436,,,tel:(503) 788-2177
437,http://www.sunrisebagelsbeaverton.com,info@sunrisebagelsbeaverton.com,tel:(503) 626-2783
438,http://www.slappycakes.com,slappycakesrws@tunglok.com,tel:(503) 477-4805
439,http://littletbaker.com/division,info@littletbaker.com,tel:(503) 238-3458
440,,,tel:(503) 674-8629
441,,tiffanyspasteleria@gmail.com,tel:(503) 839-6776
442,,ProvencePortland@live.com,tel:(503) 233-1121
443,http://www.kyrasbakeshop.com,kyra@kyrasbakeshop.com,tel:(503) 212-2979
444,http://sadie-josies-bakery.com,cakes@sadie-josies-bakery.com,tel:(360) 263-6200
445,https://www.plentyfoodanddeli.com,,tel:(503) 894-9287
446,http://donutworldpdx.com,,tel:(503) 665-3791
447,http://www.bobsredmill.com,lori@bobsredmill.com,tel:(503) 607-6455
448,http://www.thehumanbean.com,info@thehumanbean.com,tel:(503) 747-3401
449,http://www.mipueblorestaurant.net,,tel:(503) 653-5094
450,http://www.newseasonsmarket.com,talktous@newseasonsmarket.com,tel:(503) 648-6968
451,https://local.albertsons.com/or/hillsboro/7500-sw-baseline-rd.html,,tel:(503) 591-7557
452,https://crumblcookies.com/lakeoswego,,tel:(503) 673-1667
453,,,tel:(503) 342-6010
